Run ,Current (A),Voltage (V),Electron Current (x10^-10 A)
6,-8.78E-14,0,8.78E-04
39.1,-3.93E-14,0.4,3.92E-04
42.7,-4.02E-14,1.2,4.02E-04
44.6,-4.52E-14,2.2,4.52E-04
46.9,-4.65E-14,2.6,4.65E-04
48.7,-4.41E-14,3.2,4.41E-04
50.8,-3.94E-14,3.7,3.94E-04
52.4,-4.74E-14,4.2,4.74E-04
54,-3.97E-14,4.7,3.97E-04
55.6,-4.28E-14,5.1,4.28E-04
62.1,-4.32E-14,6.5,4.32E-04
64.2,-3.76E-14,7,3.76E-04
65.5,-3.70E-14,7.3,3.70E-04
67,-4.06E-14,7.7,4.06E-04
68.5,-3.54E-14,8.2,3.54E-04
70.1,-3.72E-14,8.7,3.72E-04
71.5,-3.93E-14,9.6,3.93E-04
73.2,-3.61E-14,10.4,3.61E-04
74.5,-3.12E-14,11.1,3.12E-04
75.8,-4.05E-14,11.7,4.05E-04
77.2,-5.22E-14,12.5,5.22E-04
78.7,-7.15E-14,13.2,7.15E-04
79.8,-9.78E-14,13.6,9.78E-04
81.2,-1.11E-13,13.7,0
82.5,-1.19E-13,13.9,0
83.8,-1.31E-13,14.2,0
85,-1.44E-13,14.5,0
87,-2.43E-13,15.4,0
88.2,-2.55E-13,15.6,0
89.7,-2.78E-13,15.9,0
90.6,-2.92E-13,16.1,0
91.4,-3.09E-13,16.4,0
92.5,-3.22E-13,16.6,0
93.7,-3.49E-13,16.9,0
94.8,-3.65E-13,17.2,0
96.1,-4.02E-13,17.7,0
97.2,-4.27E-13,18.1,0
98.2,-4.59E-13,18.6,0
99.2,-4.83E-13,18.9,0
100.5,-5.22E-13,19.5,0.01
101.8,-5.43E-13,20.1,0.01
103,-5.78E-13,20.6,0.01
104.2,-5.89E-13,21.1,0.01
105.5,-6.07E-13,21.6,0.01
107.7,-6.30E-13,22.7,0.01
108.8,-6.32E-13,23.4,0.01
109.9,-6.27E-13,23.5,0.01
111.2,-6.25E-13,24,0.01
112.6,-6.11E-13,24.8,0.01
113.9,-5.95E-13,25.4,0.01
115.1,-5.90E-13,25.9,0.01
116.2,-6.07E-13,26.8,0.01
117.3,-6.29E-13,27.3,0.01
118.3,-6.70E-13,28.1,0.01
119.4,-7.13E-13,28.6,0.01
120.4,-7.62E-13,29.3,0.01
121.2,-7.99E-13,29.5,0.01
122.3,-8.50E-13,30.4,0.01
123.3,-9.00E-13,31.2,0.01
124.3,-9.34E-13,31.5,0.01
125.3,-9.44E-13,31.7,0.01
126.3,-9.61E-13,32.3,0.01
127.7,-9.68E-13,33,0.01
128.8,-9.53E-13,33.5,0.01
130.1,-9.18E-13,34.1,0.01
131.2,-8.80E-13,34.5,0.01
132.4,-8.48E-13,34.9,0.01
133.4,-8.12E-13,35.2,0.01
134.6,-7.38E-13,35.9,0.01
135.4,-6.99E-13,36.1,0.01
136.6,-6.63E-13,36.5,0.01
137.6,-6.33E-13,36.8,0.01
138.9,-5.91E-13,37.5,0.01
139.8,-5.82E-13,38,0.01
141.1,-6.03E-13,38.5,0.01
142.2,-6.33E-13,38.9,0.01
143.2,-6.86E-13,39.4,0.01
144.2,-7.36E-13,39.8,0.01
145.6,-8.77E-13,40.7,0.01
146.7,-9.60E-13,41.1,0.01
147.6,-1.02E-12,41.4,0.01
148.6,-1.07E-12,41.7,0.01
149.6,-1.12E-12,42.1,0.01
