Run ,Current (A),Voltage (V),Electron Current (x10^-10 A)
2.4,-6.55E-14,0.1,6.55E-04
9.3,-6.43E-14,0.2,6.43E-04
12.5,-5.62E-14,1.2,5.62E-04
16.8,-6.65E-14,2.1,6.65E-04
22.5,-7.06E-14,3.4,7.06E-04
28.1,-6.88E-14,4.8,6.88E-04
33,-5.88E-14,5.8,5.88E-04
35.9,-6.80E-14,6.3,6.80E-04
39.7,-6.64E-14,6.9,6.64E-04
43.2,-7.89E-14,7.6,7.89E-04
46.3,-5.38E-14,8.5,5.38E-04
49,-6.21E-14,9.3,6.20E-04
53.3,-4.70E-14,10.1,4.70E-04
57.3,-4.92E-14,11,4.92E-04
62.3,-6.90E-14,12.3,6.90E-04
64.3,-9.70E-14,12.9,9.70E-04
67.4,-1.34E-13,13.6,0
70.6,-1.60E-13,14.1,0
73.4,-1.56E-13,14.1,0
127,-1.33E-13,14.1,0
130.9,-1.52E-13,14.5,0
133.6,-1.83E-13,15.2,0
136.9,-2.62E-13,16.2,0
138.8,-3.03E-13,16.6,0
141.4,-3.47E-13,17.2,0
144.2,-3.97E-13,18,0
146.2,-4.34E-13,18.5,0
148.5,-4.84E-13,19.4,0
150.3,-5.29E-13,20.2,0.01
152.9,-5.87E-13,21.6,0.01
154.4,-6.04E-13,22.4,0.01
155.3,-6.07E-13,22.6,0.01
157,-6.03E-13,23.2,0.01
158.4,-5.80E-13,24,0.01
160.1,-5.59E-13,24.7,0.01
162.3,-5.47E-13,25.4,0.01
164.3,-5.40E-13,25.9,0.01
166.8,-5.43E-13,26.5,0.01
169.4,-5.96E-13,27.5,0.01
171.7,-6.93E-13,28.8,0.01
173.1,-7.51E-13,29.3,0.01
175.1,-8.26E-13,30.3,0.01
176.4,-8.82E-13,30.9,0.01
178,-9.22E-13,31.7,0.01
179.3,-9.41E-13,32.3,0.01
180.6,-9.43E-13,33,0.01
181.8,-8.94E-13,34,0.01
182.8,-8.23E-13,35.1,0.01
183.8,-7.04E-13,35.9,0.01
184.8,-6.36E-13,36.4,0.01
185.9,-5.86E-13,36.8,0.01
186.7,-5.64E-13,37.1,0.01
187.7,-5.43E-13,37.4,0.01
188.8,-5.36E-13,37.8,0.01
190.1,-5.19E-13,38.2,0.01
191.4,-5.74E-13,38.9,0.01
192.5,-6.42E-13,39.3,0.01
193.6,-7.15E-13,39.8,0.01
194.7,-8.44E-13,40.6,0.01
196,-9.79E-13,41.3,0.01
196.9,-1.04E-12,41.7,0.01
198,-1.11E-12,42.1,0.01
199.3,-1.17E-12,42.6,0.01
200.7,-1.20E-12,43.3,0.01
201.7,-1.21E-12,43.7,0.01
203.3,-1.20E-12,44.3,0.01
204.4,-1.16E-12,44.8,0.01
205.8,-1.07E-12,45.5,0.01
206.9,-9.98E-13,45.9,0.01
207.9,-9.29E-13,46.4,0.01
209,-8.34E-13,46.7,0.01
210.1,-7.82E-13,47,0.01
211.4,-7.14E-13,47.3,0.01
213.2,-5.78E-13,48.1,0.01
214.3,-5.01E-13,48.6,0.01
215.2,-4.69E-13,48.9,0
216.2,-4.63E-13,49.3,0
217.4,-4.78E-13,49.8,0
