Run ,Current (A),Voltage (V),Electron Current (x10^-10 A)
1.7,-7.33E-14,0,7.33E-04
4,-6.49E-14,0.3,6.49E-04
8.7,-6.74E-14,0.7,6.74E-04
11.8,-7.64E-14,1.6,7.64E-04
16.5,-7.84E-14,2.8,7.84E-04
19,-8.24E-14,3.9,8.24E-04
21.8,-8.30E-14,4.9,8.30E-04
24.7,-7.83E-14,6,7.83E-04
28.9,-8.32E-14,7.1,8.32E-04
34.7,-7.90E-14,8.3,7.90E-04
41.1,-8.75E-14,9.7,8.75E-04
44.4,-8.38E-14,10,8.38E-04
53.3,-9.10E-14,11.4,9.10E-04
55.9,-9.15E-14,12,9.15E-04
59.1,-9.73E-14,12.4,9.73E-04
62.6,-9.56E-14,13,9.56E-04
66,-1.04E-13,13.5,0
68.3,-9.80E-14,13.8,9.80E-04
70.8,-1.25E-13,14.6,0
73.4,-1.58E-13,15.7,0
76.2,-1.79E-13,16.1,0
78.7,-2.18E-13,16.8,0
80.7,-2.36E-13,17.2,0
84.5,-2.53E-13,17.9,0
87.3,-3.34E-13,18.8,0
89,-3.36E-13,19,0
92.2,-3.80E-13,19.6,0
94.7,-4.14E-13,20.1,0
96.2,-4.23E-13,20.5,0
98.5,-4.41E-13,20.8,0
100.4,-4.62E-13,21.1,0
103.4,-4.85E-13,21.7,0
105.2,-5.02E-13,22.3,0.01
107.4,-5.14E-13,23.2,0.01
110.5,-5.12E-13,24.5,0.01
112.4,-5.04E-13,24.9,0.01
115.7,-4.88E-13,25.6,0
117.9,-4.83E-13,25.9,0
119.9,-4.82E-13,27.2,0
123,-5.50E-13,28.6,0.01
125,-6.53E-13,29.8,0.01
126.8,-7.09E-13,30.2,0.01
129,-7.62E-13,30.8,0.01
131.8,-8.76E-13,32.1,0.01
133.1,-9.03E-13,32.5,0.01
134.9,-9.13E-13,33,0.01
137.3,-9.14E-13,33.5,0.01
138.7,-9.01E-13,34,0.01
140.3,-8.88E-13,34.2,0.01
142.1,-8.71E-13,34.6,0.01
144.3,-8.37E-13,34.9,0.01
145.8,-8.11E-13,35.4,0.01
148,-7.68E-13,35.8,0.01
149.6,-7.11E-13,36.2,0.01
151.2,-6.71E-13,36.6,0.01
152.9,-6.24E-13,36.9,0.01
155.7,-5.50E-13,37.7,0.01
158.7,-5.08E-13,38.6,0.01
161.1,-5.42E-13,39.3,0.01
163.4,-5.84E-13,39.7,0.01
165.9,-6.66E-13,40.3,0.01
168.4,-9.01E-13,41.6,0.01
170.4,-1.03E-12,42,0.01
172,-1.08E-12,42.3,0.01
173.9,-1.13E-12,42.7,0.01
175.7,-1.20E-12,43,0.01
178.8,-1.26E-12,43.7,0.01
179.9,-1.27E-12,43.9,0.01
182.4,-1.27E-12,44.4,0.01
184.8,-1.26E-12,45,0.01
186.4,-1.20E-12,45.5,0.01
187.4,-1.16E-12,45.9,0.01
188.4,-1.09E-12,46.3,0.01
189.3,-1.02E-12,46.7,0.01
190.2,-9.26E-13,47.1,0.01
191,-8.66E-13,47.4,0.01
191.8,-8.15E-13,47.7,0.01
192.7,-6.86E-13,48.4,0.01
194.6,-4.61E-13,49.9,0
195.4,-4.42E-13,50,0
196.6,-4.45E-13,50.1,0
198.4,-4.63E-13,50.4,0
199.9,-5.05E-13,51,0.01
200.9,-6.49E-13,51.6,0.01
202.1,-7.88E-13,52,0.01
203.4,-9.05E-13,52.2,0.01
204.9,-1.14E-12,53,0.01
206,-1.28E-12,53.4,0.01
207.2,-1.45E-12,53.8,0.01
208.3,-1.53E-12,54.1,0.02
209.7,-1.63E-12,54.5,0.02
211.4,-1.68E-12,54.9,0.02
213,-1.72E-12,55.1,0.02
214.5,-1.74E-12,55.5,0.02
216.1,-1.74E-12,55.8,0.02
218,-1.74E-12,56.2,0.02
219.6,-1.71E-12,56.5,0.02
221.3,-1.68E-12,56.7,0.02
222.9,-1.65E-12,57,0.02
224.1,-1.56E-12,57.4,0.02
225.4,-1.46E-12,57.7,0.01
228.1,-1.28E-12,58.3,0.01
229.3,-1.23E-12,58.5,0.01
230.7,-1.12E-12,58.9,0.01
231.9,-9.97E-13,59.2,0.01
233,-8.59E-13,59.7,0.01
234.4,-7.42E-13,60.2,0.01
235.4,-6.60E-13,60.4,0.01
237,-5.73E-13,60.7,0.01
238,-5.46E-13,60.9,0.01
239.6,-4.70E-13,61.2,0
240.5,-4.75E-13,61.4,0
