Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9
Wavelength (nm),Frequency (Hz),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V),Time (s),Current (A),Voltage (V),Stopping Potential (V)
365,8.21E+14,350.800,-1.086E-14,-0.376,0.38,169.200,5.286E-14,-1.080,1.08,198.600,8.960E-14,-1.481,1.48,207.850,5.127E-15,-1.495,1.49,54.600,2.551E-14,-1.874,1.87,61.350,2.234E-14,-1.495,1.49,134.350,1.946E-11,30.006,-30.01,85.650,7.642E-11,30.023,-30.02,35.100,3.212E-10,30.024,-30.02
405,7.40E+14,429.100,-1.172E-14,0.927,-0.93,238.400,8.057E-15,-0.920,0.92,264.800,-1.245E-14,-1.269,1.27,288.650,3.564E-14,-1.188,1.19,110.000,-6.958E-14,-1.523,1.52,131.750,1.733E-14,-1.255,1.25,161.700,1.836E-11,28.004,-28.00,91.500,7.358E-11,27.995,-27.99,40.500,3.162E-10,28.064,-28.06
436,6.88E+14,,,,,323.250,-4.236E-14,-0.797,0.80,327.200,2.319E-15,-1.077,1.08,333.750,-1.355E-14,-1.036,1.04,180.750,-6.641E-14,-1.328,1.33,206.850,2.173E-14,-1.039,1.04,192.950,1.700E-11,26.006,-26.01,95.800,7.088E-11,25.926,-25.93,45.550,3.088E-10,26.633,-26.63
546,5.49E+14,,,,,461.950,2.429E-14,-0.170,0.17,412.750,-6.470E-15,-0.636,0.64,445.400,4.260E-14,-0.588,0.59,252.650,1.917E-14,-0.856,0.86,283.200,8.789E-15,-0.601,0.60,227.900,1.655E-11,23.998,-24.00,101.550,6.739E-11,24.031,-24.03,51.600,3.029E-10,26.057,-26.06
577,5.20E+14,,,,,482.250,9.644E-15,-0.109,0.11,482.050,2.393E-14,-0.535,0.54,473.100,2.295E-14,-0.569,0.57,313.250,-6.348E-15,-0.713,0.71,345.200,-3.174E-15,-0.467,0.47,250.000,1.573E-11,22.001,-22.00,109.550,6.412E-11,22.020,-22.02,58.150,2.865E-10,24.066,-24.07
,,,,,,,,,,,,,,,,,,,,,,,,,,262.950,1.489E-11,19.999,-20.00,115.900,6.083E-11,20.036,-20.04,60.500,2.764E-10,22.791,-22.79
,,,,,,,,,,,,,,,,,,,,,,,,,,285.000,1.399E-11,18.003,-18.00,123.450,5.752E-11,17.982,-17.98,63.550,2.721E-10,21.994,-21.99
,,,,,,,,,,,,,,,,,,,,,,,,,,305.000,1.330E-11,16.007,-16.01,133.450,5.415E-11,15.987,-15.99,67.300,2.585E-10,20.005,-20.01
,,,,,,,,,,,,,,,,,,,,,,,,,,321.800,1.220E-11,13.993,-13.99,142.150,4.824E-11,13.949,-13.95,71.000,2.408E-10,18.150,-18.15
,,,,,,,,,,,,,,,,,,,,,,,,,,335.800,1.113E-11,12.006,-12.01,149.500,4.202E-11,11.967,-11.97,74.250,2.238E-10,16.204,-16.20
,,,,,,,,,,,,,,,,,,,,,,,,,,344.600,9.707E-12,9.992,-9.99,159.550,3.417E-11,10.002,-10.00,78.500,1.925E-10,14.074,-14.07
,,,,,,,,,,,,,,,,,,,,,,,,,,350.950,7.813E-12,7.756,-7.76,167.200,2.566E-11,7.998,-8.00,83.800,1.605E-10,12.046,-12.05
,,,,,,,,,,,,,,,,,,,,,,,,,,358.400,6.663E-12,6.764,-6.76,176.600,1.822E-11,6.013,-6.01,90.300,1.411E-10,10.086,-10.09
,,,,,,,,,,,,,,,,,,,,,,,,,,365.350,6.163E-12,5.977,-5.98,184.600,8.258E-12,4.000,-4.00,93.550,1.094E-10,8.141,-8.14
,,,,,,,,,,,,,,,,,,,,,,,,,,378.450,4.376E-12,4.010,-4.01,192.050,1.926E-12,1.988,-1.99,97.100,9.257E-11,6.209,-6.21
,,,,,,,,,,,,,,,,,,,,,,,,,,388.500,1.723E-12,1.990,-1.99,198.050,2.180E-13,-0.002,0.00,101.450,8.675E-11,6.064,-6.06
,,,,,,,,,,,,,,,,,,,,,,,,,,397.650,3.955E-13,0.006,-0.01,202.250,1.271E-13,-0.125,0.12,104.200,4.656E-11,3.974,-3.97
,,,,,,,,,,,,,,,,,,,,,,,,,,465.450,1.617E-13,-0.103,0.10,204.850,7.446E-14,-0.205,0.21,106.100,3.742E-11,3.647,-3.65
,,,,,,,,,,,,,,,,,,,,,,,,,,470.900,1.429E-13,-0.202,0.20,207.450,4.431E-14,-0.305,0.31,108.700,3.167E-11,3.091,-3.09
,,,,,,,,,,,,,,,,,,,,,,,,,,476.450,1.405E-13,-0.311,0.31,209.650,3.381E-14,-0.402,0.40,110.250,2.213E-11,2.678,-2.68
,,,,,,,,,,,,,,,,,,,,,,,,,,483.100,1.104E-13,-0.406,0.41,211.700,6.238E-14,-0.508,0.51,112.150,1.623E-11,2.067,-2.07
,,,,,,,,,,,,,,,,,,,,,,,,,,490.150,8.643E-14,-0.506,0.51,213.100,2.283E-14,-0.619,0.62,114.250,7.991E-12,1.385,-1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,494.250,3.894E-14,-0.626,0.63,215.500,1.257E-14,-0.709,0.71,116.750,5.213E-12,1.069,-1.07
,,,,,,,,,,,,,,,,,,,,,,,,,,498.150,4.260E-14,-0.696,0.70,218.300,9.766E-15,-0.806,0.81,119.300,3.110E-12,0.316,-0.32
,,,,,,,,,,,,,,,,,,,,,,,,,,503.700,3.186E-14,-0.803,0.80,219.650,3.784E-15,-0.947,0.95,122.700,2.842E-12,0.095,-0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,507.500,3.015E-14,-0.905,0.91,223.300,6.714E-15,-1.007,1.01,125.250,5.469E-13,-0.450,0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,511.350,1.904E-14,-1.004,1.00,226.100,1.074E-14,-1.119,1.12,126.250,5.651E-13,-0.485,0.49
,,,,,,,,,,,,,,,,,,,,,,,,,,514.050,2.515E-14,-1.104,1.10,227.450,-1.953E-15,-1.215,1.22,130.050,5.698E-13,-0.510,0.51
,,,,,,,,,,,,,,,,,,,,,,,,,,517.800,3.064E-14,-1.199,1.20,,,,,133.600,3.907E-13,-0.620,0.62
,,,,,,,,,,,,,,,,,,,,,,,,,,521.950,2.417E-14,-1.302,1.30,,,,,135.300,3.103E-13,-0.735,0.74
,,,,,,,,,,,,,,,,,,,,,,,,,,524.800,1.318E-14,-1.407,1.41,,,,,136.400,2.314E-13,-0.831,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,530.400,2.466E-14,-1.510,1.51,,,,,138.300,9.985E-14,-0.910,0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,533.350,6.958E-15,-1.602,1.60,,,,,140.550,9.460E-14,-1.011,1.01
,,,,,,,,,,,,,,,,,,,,,,,,,,537.150,1.331E-14,-1.703,1.70,,,,,142.500,5.505E-14,-1.105,1.10
,,,,,,,,,,,,,,,,,,,,,,,,,,539.750,-1.282E-14,-1.803,1.80,,,,,145.950,4.565E-14,-1.206,1.21
,,,,,,,,,,,,,,,,,,,,,,,,,,543.700,-4.712E-14,-1.903,1.90,,,,,148.150,2.734E-14,-1.301,1.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.950,3.784E-14,-1.410,1.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.700,1.343E-14,-1.504,1.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.450,1.379E-14,-1.607,1.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.250,-1.282E-14,-1.714,1.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.400,-6.042E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.450,-5.933E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.500,-5.225E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.550,-5.530E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.600,-5.493E-14,-1.813,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.650,-3.992E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.700,-5.176E-14,-1.813,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.750,-5.420E-14,-1.812,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.800,-4.602E-14,-1.811,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.850,-3.979E-14,-1.811,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.900,-3.320E-14,-1.811,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.950,-4.199E-14,-1.811,1.81
