Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Set,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11
τ (s),γ,Time of n oscillations (s),User Data 3 (units),Mass (Kg),error on mass (Kg),Diameter (cm),error on diameter (cm),volume (m^3),error on volume (m^3),Number of Oscillations,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.6,1.2,4.23,,0.00604,1.00E-06,1.636,0.002,0.0096119,8.00E-06,7,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,,0,0.24,,
0.61,1.19,4.85,,0.006104,1.00E-06,1.63,0.002,0.00965,9.00E-06,8,0.01,0.24,0.32,,0.01,0.24,0.32,,0.01,0.24,0.33,,0.01,0.24,0.17,,0.01,0.22,27.53,,0.01,0.24,0.32,,0.01,0.24,0.14,,0.01,0.24,0.3,,0.01,0.24,0.23,,0.01,0.24,0.3,,0.01,0.24,0.3,
0.61,1.18,4.87,,0.00573,1.00E-06,1.624,0.002,0.0095459,8.00E-06,8,0.02,0.25,-1.05,1100.19,0.02,0.25,-0.92,1098.96,0.02,0.25,-1.08,1098.16,0.02,0.24,-1.08,1114.77,0.02,0.8,0.62,-1629.39,0.02,0.25,-1.06,1099.66,0.02,0.24,-0.92,1117.8,0.02,0.25,-0.92,1100.55,0.02,0.25,-0.94,1108.71,0.02,0.25,-0.86,1070.16,0.02,0.25,-0.81,1101.83
0.61,1.2,6.66,,0.005612,1.00E-06,1.646,0.002,0.0092057,8.00E-06,11,0.03,0.22,22.32,1237.91,0.03,0.22,22.3,1224.42,0.03,0.22,22.29,1240.26,0.03,0.22,22.47,1240.36,0.03,0.23,-5.05,1132.57,0.03,0.22,22.31,1238.59,0.03,0.22,22.5,1224.58,0.03,0.23,22.32,1215.99,0.03,0.23,22.41,1217.91,0.03,0.23,21.71,1184.25,0.03,0.23,22.33,1210.53
0.61,1.19,6.08,,0.006064,1.00E-06,1.644,0.002,0.0093557,8.00E-06,10,0.04,0.69,23.71,-1115.97,0.04,0.69,23.57,-1115.69,0.04,0.69,23.72,-1114.53,0.04,0.69,23.73,-1123.25,0.04,0.69,23.27,252.67,0.04,0.69,23.71,-1115.48,0.04,0.69,23.57,-1124.78,0.04,0.69,23.4,-1115.77,0.04,0.69,23.42,-1120.27,0.04,0.68,22.82,-1077.81,0.04,0.69,23.4,-1116.69
0.61,1.18,5.48,,0.00542,1.00E-06,1.658,0.002,0.0093008,8.00E-06,9,0.05,0.69,0,-1185.39,0.05,0.69,-0.01,-1178.48,0.05,0.69,0,-1186.15,0.05,0.69,0,-1186.61,0.05,0.69,0,-1163.42,0.05,0.69,0,-1185.75,0.05,0.69,0,-1178.45,0.05,0.69,0,-1169.88,0.05,0.69,0,-1171.15,0.05,0.68,0.15,-1139.42,0.05,0.69,0,-1169.88
0.61,1.19,7.28,,,,,,,,12,0.06,0.69,0,0,0.06,0.69,0,0.52,0.06,0.69,0,0,0.06,0.69,0,0.09,0.06,0.69,0,0,0.06,0.69,0,0,0.06,0.69,0,0,0.06,0.69,0,-0.09,0.06,0.69,0,0,0.06,0.68,0.03,-8.33,0.06,0.69,0,0
0.6,1.2,5.44,,,,,,,,9,0.07,0.69,0,0,0.07,0.69,0,0,0.07,0.69,0,0,0.07,0.69,0,-0.43,0.07,0.69,0,0,0.07,0.69,0,0,0.07,0.69,0,0,0.07,0.69,0,0.43,0.07,0.69,0,0,0.07,0.68,-0.02,-2.58,0.07,0.69,0,0
0.6,1.2,4.84,,,,,,,,8,0.08,0.69,0,0,0.08,0.69,0,0,0.08,0.69,0,0,0.08,0.69,-0.01,-0.6,0.08,0.69,0,0,0.08,0.69,0,0,0.08,0.69,0,0,0.08,0.69,0.01,0.6,0.08,0.69,0,0,0.08,0.68,-0.02,0.09,0.08,0.69,0,0
0.61,1.18,6.1,,,,,,,,10,0.09,0.69,0,0,0.09,0.69,0,0,0.09,0.69,0,0,0.09,0.69,-0.01,0.43,0.09,0.69,0,0,0.09,0.69,0,0,0.09,0.69,0,-0.09,0.09,0.69,0.01,-0.43,0.09,0.69,0,0,0.09,0.68,-0.02,-0.52,0.09,0.69,0,0
,,,,,,,,,,,0.1,0.69,0,0,0.1,0.69,0,0,0.1,0.69,0,0,0.1,0.69,0,0.52,0.1,0.69,0,0,0.1,0.69,0,0,0.1,0.69,0,0.52,0.1,0.69,0,-0.52,0.1,0.69,0,0,0.1,0.68,-0.03,-0.26,0.1,0.69,0,0
