Background 1min,Background 1min,Background 5min,Background 5min,Run #3,Run #3,Run #4,Run #4,Exp4 Run1,Exp4 Run1,Exp1 Run1,Exp1 Run1,Exp1 Run2,Exp1 Run2,Exp1 Run3,Exp1 Run3,Run #9,Run #9,Run #10,Run #10,Exp2 Run1,Exp2 Run1,Exp2 Run2,Exp2 Run2,Exp2 Run3,Exp2 Run3,Exp3 Run1,Exp3 Run1,Run #15,Run #15,Exp3 Run2,Exp3 Run2,Exp3 Run3,Exp3 Run3,Exp3 Run4,Exp3 Run4,Exp3 Run5,Exp3 Run5,Exp3 Run6,Exp3 Run6,Exp3 Run7,Exp3 Run7,Exp3 Run8,Exp3 Run8,Exp3 Run9,Exp3 Run9,Exp3 Run10,Exp3 Run10,Exp3 Run11,Exp3 Run11,Exp3 Run12,Exp3 Run12,Exp3 Run13,Exp3 Run13,Exp3 Run14,Exp3 Run14,Exp3 Run15,Exp3 Run15,Exp3 Run16,Exp3 Run16,Exp3 Run17,Exp3 Run17,Exp3 Run18,Exp3 Run18,Exp3 Run19,Exp3 Run19,Exp3 Run20,Exp3 Run20,Run #35,Run #35,Run #36,Run #36,Run #37,Run #37,Run #38,Run #38,Run #39,Run #39,Run #40,Run #40,Run #41,Run #41,Run #42,Run #42,Run #43,Run #43,Run #44,Run #44,Run #45,Run #45,Exp4 Run1,Exp4 Run1,Exp4 Run2,Exp4 Run2,Exp3 Run3,Exp3 Run3,Exp3 Run4,Exp3 Run4,Exp3 Run5,Exp3 Run5,Stuff,Stuff,Bonus 4.95,Bonus 4.95,Bonus 5.30,Bonus 5.30,Bonus 7.10,Bonus 7.10,Bonus 8.00,Bonus 8.00,Bonus 8.90,Bonus 8.90,Run #57,Run #57,Run #58,Run #58,Bonus 15.4,Bonus 15.4,Bonus 5.9,Bonus 5.9,Bonus 5.1,Bonus 5.1
Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample)
0,0,0,1,0,2,0,2,0,1,0,5,0,5,0,4,0,2,2,43,2,30,2,30,2,38,0,1,0,2,0,3,0,5,0,1,0,2,0,3,0,2,0,0,0,7,0,4,0,4,0,3,0,1,0,2,0,1,0,2,0,1,0,1,0,2,0,1,2,46,0,1,0,6,0,6,0,2,0,3,0,4,2,55,2,6,2,3,2,9,2,10,2,7,2,6,2,6,2,9,2,54,0,8,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,4
0.2,0,0.2,0,0.2,0,0.2,2,0.2,3,0.2,3,0.2,1,0.2,2,0.2,4,4,41,4,37,4,46,4,39,0.1,1,0.1,4,0.1,0,0.1,1,0.1,3,0.1,0,0.1,2,0.1,2,0.1,3,0.1,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,3,0.1,1,0.1,1,0.1,1,0.1,4,4,20,0.2,1,0.2,3,0.2,6,0.2,1,0.2,2,0.2,2,4,46,4,3,4,6,4,8,4,7,4,9,4,5,4,3,4,4,4,41,0.2,4,0.2,2,0.2,1,0.2,3,0.2,1,0.2,0,0.2,0,0.2,0,0.2,6,0.2,6
0.4,0,0.4,0,0.4,0,0.4,0,0.4,2,0.4,3,0.4,1,0.4,7,0.4,4,6,47,6,46,6,37,6,55,0.2,1,0.2,0,0.2,2,0.2,3,0.2,1,0.2,4,0.2,3,0.2,2,0.2,7,0.2,5,0.2,2,0.2,3,0.2,2,0.2,2,0.2,2,0.2,4,0.2,4,0.2,2,0.2,1,0.2,3,0.2,2,6,16,0.4,0,0.4,12,0.4,1,0.4,2,0.4,1,0.4,1,6,49,6,1,6,1,6,10,6,7,6,5,6,6,6,9,6,7,6,54,0.4,10,0.4,1,0.4,2,0.4,1,0.4,1,0.4,0,0.4,0,0.4,1,0.4,3,0.4,3
0.6,0,0.6,0,0.6,0,0.6,1,0.6,3,0.6,2,0.6,2,0.6,7,0.6,6,8,33,8,32,8,26,8,48,0.3,0,0.3,6,0.3,1,0.3,3,0.3,3,0.3,2,0.3,1,0.3,1,0.3,2,0.3,2,0.3,1,0.3,1,0.3,2,0.3,1,0.3,2,0.3,2,0.3,0,0.3,1,0.3,0,0.3,2,0.3,3,8,27,0.6,0,0.6,9,0.6,1,0.6,0,0.6,1,0.6,2,8,52,8,5,8,10,8,7,8,13,8,6,8,3,8,8,8,8,8,53,0.6,6,0.6,4,0.6,1,0.6,2,0.6,0,0.6,0,0.6,0,0.6,0,0.6,4,0.6,5
0.8,0,0.8,0,0.8,2,0.8,1,0.8,3,0.8,3,0.8,4,0.8,1,0.8,6,,,10,41,10,41,10,48,0.4,2,0.4,0,0.4,4,0.4,5,0.4,4,0.4,1,0.4,4,0.4,2,0.4,1,0.4,2,0.4,4,0.4,4,0.4,3,0.4,3,0.4,0,0.4,1,0.4,1,0.4,4,0.4,2,0.4,2,0.4,2,10,22,0.8,0,0.8,7,0.8,2,0.8,1,0.8,2,0.8,3,10,38,10,5,10,2,10,9,10,8,10,8,10,9,10,8,10,4,10,41,0.8,5,0.8,3,0.8,3,0.8,2,0.8,0,0.8,0,0.8,0,0.8,1,0.8,3,0.8,8
1,0,1,0,1,0,1,0,1,9,1,9,1,3,1,3,1,3,,,12,30,12,35,12,27,0.5,2,0.5,4,0.5,4,0.5,4,0.5,0,0.5,1,0.5,4,0.5,2,0.5,2,0.5,1,0.5,4,0.5,2,0.5,0,0.5,2,0.5,1,0.5,1,0.5,0,0.5,4,0.5,1,0.5,2,0.5,2,12,12,1,1,1,13,1,2,1,1,1,0,1,2,12,3,12,6,12,9,12,5,12,3,12,12,12,8,12,6,12,8,12,56,1,7,1,6,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,4
1.2,0,1.2,0,1.2,0,1.2,0,1.2,3,1.2,8,1.2,2,1.2,2,1.2,2,,,14,44,14,46,14,43,0.6,2,0.6,4,0.6,1,0.6,4,0.6,2,0.6,2,0.6,3,0.6,0,0.6,1,0.6,4,0.6,1,0.6,2,0.6,0,0.6,0,0.6,2,0.6,0,0.6,3,0.6,3,0.6,3,0.6,0,0.6,1,,,1.2,0,1.2,7,1.2,3,1.2,0,1.2,1,1.2,0,14,10,14,2,14,3,14,2,14,4,14,6,14,6,14,6,14,8,14,51,1.2,7,1.2,2,1.2,1,1.2,2,1.2,0,1.2,0,1.2,0,1.2,1,1.2,6,1.2,1
1.4,0,1.4,0,1.4,0,1.4,1,1.4,5,1.4,4,1.4,5,1.4,4,1.4,5,,,16,38,16,44,16,45,0.7,0,0.7,1,0.7,0,0.7,2,0.7,0,0.7,1,0.7,2,0.7,2,0.7,4,0.7,3,0.7,5,0.7,1,0.7,2,0.7,2,0.7,3,0.7,2,0.7,1,0.7,2,0.7,1,0.7,2,0.7,1,,,1.4,5,1.4,9,1.4,0,1.4,1,1.4,0,1.4,0,16,4,16,4,16,5,16,5,16,5,16,5,16,10,16,7,16,8,16,52,1.4,6,1.4,3,1.4,0,1.4,0,1.4,1,1.4,0,1.4,0,1.4,0,1.4,3,1.4,3
1.6,0,1.6,0,1.6,1,1.6,0,1.6,4,1.6,3,1.6,3,1.6,5,1.6,2,,,18,47,18,36,18,41,0.8,4,0.8,1,0.8,2,0.8,4,0.8,4,0.8,0,0.8,1,0.8,2,0.8,0,0.8,3,0.8,1,0.8,3,0.8,3,0.8,1,0.8,3,0.8,1,0.8,1,0.8,3,0.8,5,0.8,3,0.8,4,,,1.6,5,1.6,5,1.6,3,1.6,1,1.6,1,1.6,5,,,18,3,18,8,18,9,18,3,18,3,18,8,18,4,18,5,18,49,1.6,5,1.6,4,1.6,1,1.6,1,1.6,1,1.6,0,1.6,1,1.6,1,1.6,7,1.6,8
